Year,"Perkhidmatan penginapan
Accommodation services","Perkhidmatan penyediaan makanan dan minuman
Food and beverage serving services","Perkhidmatan pengangkutan penumpang 
Passenger transport services","Perkhidmatan agensi pengembaraan dan penempahan lain 
Travel agencies and other reservation services","Perkhidmatan kebudayaan sukan dan rekreasi
Cultural sports and recreational services","Jualan runcit bahan api kenderaan
Retail sale of automotive fuel","Perdagangan runcit
Retail trade","Perkhidmatan khusus bercirikan pelancongan negara 
Country-specific tourism characteristic services","Jumlah Nilai Ditambah Kasar Industri Pelancongan
Total Gross Value Added of Tourism Industries","Nilai Ditambah Kasar Pelancongan Langsung
Tourism Direct Gross Value Added ","Keluaran Dalam Negeri Kasar Pelancongan Langsung
Tourism Direct Gross Domestic Product ","Keluaran Dalam Negeri Kasar
Gross Domestic Product ",source_file
2015,19810.0,26355.7,7331.1,2897.8,8987.0,3170.6,74792.8,22593.0,165938.0,74923.3,74956.9,1176941.2,transposed_cleaned_Industry.csv
2016,21269.0,29380.0,7834.5,3139.6,9440.2,3490.5,82570.4,24545.0,181669.1,82055.5,82093.4,1249697.7,transposed_cleaned_Industry.csv
2017,22948.4,33154.9,8352.1,3453.0,9895.3,3985.4,92847.3,26045.4,200681.9,87851.0,87895.1,1372310.0,transposed_cleaned_Industry.csv
2018,24733.1,37782.1,8798.6,3818.9,10482.2,4467.9,102523.9,27778.3,220385.0,94535.4,94575.4,1447759.6,transposed_cleaned_Industry.csv
2019,26406.8,43166.7,9379.5,4226.9,11307.1,4725.9,111121.6,29695.0,240029.5,102233.3,102272.3,1512737.8,transposed_cleaned_Industry.csv
2020,12137.9,35571.2,4863.0,1641.5,6307.6,4181.6,106560.0,29036.5,200299.2,28314.8,28350.8,1418490.9,transposed_cleaned_Industry.csv
2021,9712.6,33845.9,3682.1,1092.9,4215.3,4361.6,111617.8,30013.2,198541.4,11656.6,11660.1,1548700.8,transposed_cleaned_Industry.csv
2022,15133.1,42622.4,6329.1,3101.9,8199.4,6299.8,136747.3,31695.5,250128.5,47968.8,47982.5,1793903.1,transposed_cleaned_Industry.csv
2023,17967.1,45827.3,8483.3,3909.5,9488.5,7092.7,147943.6,35063.6,275775.6,81170.5,81191.9,1822904.4,transposed_cleaned_Industry.csv
