Year,"Perkhidmatan penginapan
Accommodation services","Perkhidmatan penyediaan makanan dan minuman
Food and beverage serving services","Perkhidmatan pengangkutan penumpang 
Passenger transport services","Perkhidmatan agensi pengembaraan dan penempahan lain 
Travel agencies and other reservation services","Perkhidmatan kebudayaan sukan dan rekreasi
Cultural sports and recreational services","Jualan runcit bahan api kenderaan
Retail sale of automotive fuel","Perdagangan runcit
Retail trade","Perkhidmatan khusus bercirikan pelancongan negara 
Country-specific tourism characteristic services","Jumlah
Total",source_file
2015,184.1,912.7,159.2,32.7,75.6,32.9,992.5,294.5,2684.2,transposed_cleaned_Employment in the tourism industry.csv
2016,207.4,1002.6,164.5,35.8,74.8,33.4,1106.0,317.1,2941.7,transposed_cleaned_Employment in the tourism industry.csv
2017,210.5,1087.0,162.5,40.1,78.9,34.4,1104.5,348.6,3066.5,transposed_cleaned_Employment in the tourism industry.csv
2018,222.4,1183.0,171.3,38.7,80.9,34.6,1147.9,370.5,3249.4,transposed_cleaned_Employment in the tourism industry.csv
2019,233.8,1237.7,177.3,40.7,81.2,34.7,1158.1,356.9,3320.3,transposed_cleaned_Employment in the tourism industry.csv
2020,209.9,1189.1,158.2,31.0,63.2,31.0,1156.6,342.5,3181.5,transposed_cleaned_Employment in the tourism industry.csv
2021,202.8,1164.4,154.1,23.6,48.0,29.5,1166.7,347.9,3137.0,transposed_cleaned_Employment in the tourism industry.csv
2022,218.7,1189.5,167.9,25.7,50.2,29.7,1178.2,364.8,3224.7,transposed_cleaned_Employment in the tourism industry.csv
2023,225.6,1244.5,171.9,27.7,54.6,30.4,1254.9,372.6,3382.2,transposed_cleaned_Employment in the tourism industry.csv
